Card Name
Unsubstantiate
Lonely Sandbar
Svyelunite Temple
Halimar Depths
Remote Isle
The Surgical Bay
Chart a Course
Mazemind Tome
Crystal Spray
Telling Time
Sorrow's Path
Reins of Power
Buried Ruin
Disintegrate
Roots of Life
Fog
Talon Sliver
Clot Sliver
Misstep
Spined Sliver
Master of the Veil
Restoration Angel
Prairie Stream
Skycloud Expanse
Shadowblood Ridge
Sunken Hollow
Whirler Rogue
Ash Barrens
Mystic Retrieval
Mystic Retrieval
Mystic Retrieval
Mystic Retrieval
Temple of Epiphany
Temple of Epiphany
Temple of Epiphany
Darksteel Citadel
Sleight of Mind
Llanowar Druid
Denying Wind
Rhystic Scrying
Barbed Field
Remove
Living Terrain
Self-Assembler
Rise from the Tides
Liberate
Village Messenger / Moonrise Intruder
Butcher Ghoul
Scorned Villager / Moonscarred Werewolf
Lavinia, Azorius Renegade
Aetherize
Infernal Grasp
Sever the Bloodline
Bladestitched Skaab
Fleshtaker
Angel's Tomb
Restless Bloodseeker // Bloodsoaked Reveler
Essence Flux
Essence Flux
Burning Vengeance
Pack Guardian
Polluted Mire
Devastate
Inflame
Rhystic Lightning
Time Stretch
Whipstitched Zombie
Wirewood Hivemaster
Greel's Caress
Power Armor
Slippery Karst
Kjeldoran Escort
Withdraw
Hallowed Fountain 
Jhoira, Weatherlight Captain
Glittering Lynx
chaos Warp
Expressive Iteration
Rakdos Charm
Azorius Guildgate
Frilled Mystic
Faithless Looting
Grenzo, Dungeon Warden
Simic Guildgate
Boros Guildgate
Izzet Charm
Tainted Wood
Barren Moor
Secluded Steppe
	Voidmage Apprentice
Elfhame Palace
Lonely Sandbar
Terror
Backlash
Order of the Sacred Torch
Rakdos, Lord of Riots
Become Immense
Liliana of the Veil
Tinder Farm
Tinder Farm
	Quirion Explorer
Seafloor Debris
Timberland Ruins
Nightscape Master
Worship
Preordain
Symbol of Unsummoning
Champion's Victory
Stronghold Biologist
Simplify
Arcane Signet
Exotic Orchard
Smoldering Marsh
Goblin Guide
Terror
Mystical Tutor
Mind Stone
Rootwater Hunter
Salvage
Revive
Beloved Chaplain
Tainted Field
Tainted Wood
Breaking Point
Riftstone Portal
Wirewood Lodge
Shepherd of Rot
Riptide Director
Psychic Theft
Hull Breach
Rowen
Repeal
Elvish Mystic
Sylvan Scrying
Field of Ruin
Bojuka Bog
Condemn
Fire // Ice
Collapsing Borders
Snapcaster Mage
Fleshbag Marauder
Three Wishes
Drudge Skeletons
Leshrac's Sigil
Goblin Burrows
Arch of Orazca
Smoldering Marsh
Ash Barrens
Swiftfoot Boots
Impulse
Watery Grave
Bident of Thassa
Jolrael, Voice of Zhalfir
Strionic Resonator
Duskwatch Recruiter / Krallenhorde Howler
Alabaster Potion
Ali Baba
Atog
Atog
Atog
Blue Elemental Blast
Cave Sense
Circle of Protection: Red
Control Magic
Cursed Rack
Dark Privilege
Dark Ritual
Drain Life
Dwarven Warriors
Dwarven Warriors
Earth Elemental
Earthbind
Fireball
Forest
Forest
Gaea's Touch
Goblin Digging Team
Hypnotic Specter
Hypnotic Specter
Immolation
Island
Island
Island
Jandor's Saddlebags
Lance
Lightning Bolt
Lure
Mishra's Factory
Mons's Goblin Raiders
Mountain
Nantuko Husk
Nettling Imp
Ornithopter
Pestilence
Phantom Monster
Plague Rats
Power Surge
Pyrotechnics
Pyrotechnics
Red Elemental Blast
Red Elemental Blast
Regrowth
Royal Assassin
Shanodin Dryads
Shield Wall
Shrieking Drake
Shrieking Drake
Shrieking Drake
Shrieking Drake
Swamp
The Rack
Tunnel
Urza's Mine
Urza's Power Plant
Urza's Power Plant
Wall of Spears
Zombie Master
Aladdin's Lamp
Castle
Contract from Below
Counterspell
Demonic Attorney
Demonic Attorney
Disrupting Scepter
Mesa Pegasus
Mijae Djinn
Pearled Unicorn
Rocket Launcher
Spell Blast
Unholy Strength
Wall of Brambles
