Card Name,Condition,Creation Date,Custom Price,Foil,Foil/Etched,Frame Type,Language,Mana Cost,Mana Value,Quantity,Rarity,Reserved List,Scryfall Id,Set Code
Alabaster Potion,,2025-10-04T20:51:49,-,,,Regular,,{X}{W}{W},2,1,C,,bb38b274-805c-41a3-8cba-c78e03d5dcd9,rqs
Ali Baba,,2025-10-01T22:58:55,-,,,Regular,,{R},1,1,U,,b227a879-153c-4d72-adaa-8a582866c763,4bb
Atog,,2025-10-01T23:03:03,-,,,Regular,,{1}{R},2,1,C,,84e4c633-38d2-4f70-b6b7-f6b9e44d96a2,fbb
Atog,,2025-10-01T23:03:05,-,,,Regular,,{1}{R},2,1,C,,84e4c633-38d2-4f70-b6b7-f6b9e44d96a2,fbb
Atog,,2025-10-01T23:03:23,-,,,Regular,,{1}{R},2,1,C,,84e4c633-38d2-4f70-b6b7-f6b9e44d96a2,fbb
Blue Elemental Blast,,2025-10-04T11:29:38,-,,,Regular,,{U},1,1,C,,2193b53b-be75-4d72-9cb5-cd2dfd0fe707,fbb
Cave Sense,,2025-11-16T17:55:40,-,,,Regular,,{1}{R},2,1,C,,cbaf8288-9b14-485c-af61-20ec745ced6a,plst
Circle of Protection: Red,,2025-10-04T21:34:14,-,,,Regular,,{1}{W},2,1,C,,66de0224-1361-4b53-98fc-58629057d9b3,fbb
Control Magic,,2025-10-04T18:29:47,-,,,Regular,,{2}{U}{U},4,1,U,,e6187864-c9f1-46fc-8254-706360d55237,fbb
Cursed Rack,,2025-10-04T02:01:02,-,,,Regular,,{4},4,1,U,,37890f02-83fb-4c27-bb02-b13505733ba3,4bb
Dark Privilege,,2025-10-01T20:50:20,-,,,Regular,,{1}{B},2,1,R,,c63ecd7b-a5e6-4e19-9ca2-dda14754305a,mgb
Dark Ritual,,2025-10-01T20:27:52,-,,,Regular,,{B},1,1,C,,bd9390bb-a437-456f-bd21-a57ae7b7901f,fbb
Drain Life,,2025-10-01T20:36:40,-,,,Regular,,{X}{1}{B},2,1,C,,cdbbd2f8-57d6-426e-a32f-5f9dd6e3d52c,fbb
Dwarven Warriors,,2025-10-01T23:08:09,-,,,Regular,,{2}{R},3,1,C,,463cd9e9-6581-418d-82a5-1b57edd2af2c,fbb
Dwarven Warriors,,2025-10-01T23:08:13,-,,,Regular,,{2}{R},3,1,C,,1a3baa5a-e1d8-4d00-a78c-75688f181940,4bb
Earth Elemental,,2025-10-01T23:14:11,-,,,Regular,,{3}{R}{R},5,1,U,,478c224f-560d-4b49-9e7f-1f7997e796d1,4bb
Earthbind,,2025-10-01T23:43:34,-,,,Regular,,{R},1,1,C,,4374b891-8521-4bb3-9c24-644ee33b44cc,fbb
Fireball,,2025-10-01T23:28:08,-,,,Regular,,{X}{R},1,1,C,,51a242c2-58bf-457b-b5ad-83e85b08ddd1,4bb
Forest,,2025-10-01T22:48:48,-,,,Regular,,,0,1,C,,09628c5b-5b56-4160-ab28-a750658c1e1e,fbb
Forest,,2025-10-01T22:48:51,-,,,Regular,,,0,1,C,,42f6ea0c-1533-4fd8-b00b-684001da46e9,fbb
Gaea's Touch,,2025-10-01T22:43:31,-,,,Regular,,{G}{G},2,1,C,,b7705328-4b5d-4383-9abe-75fca9c32c09,drk
Goblin Digging Team,,2025-10-01T23:00:45,-,,,Regular,,{R},1,1,C,,c1d06a21-d05b-4114-85cd-44f68d9989da,bchr
Hypnotic Specter,,2025-10-01T19:28:28,-,,,Regular,,{1}{B}{B},3,1,U,,7af35f35-22f0-4704-b555-bff428c72b1d,fbb
Hypnotic Specter,,2025-10-01T19:28:31,-,,,Regular,,{1}{B}{B},3,1,U,,7af35f35-22f0-4704-b555-bff428c72b1d,fbb
